id,marca,categoria,nombre,descripcion,precio,precio_anterior,etiqueta,stock,foto
p001,Sunday,completas,"Sunday Primer 20.5"" 2024","Completa de acero cromoly, ideal para arrancar en street/park.",9800,,Nuevo,si,
p002,Cult,completas,"Cult Access 20.5"" 2024","Cromoly, llantas 2.4"", lista para rodar de fábrica.",11900,,Top,si,
p003,Kink,completas,"Kink Curb 20"" 2024","Entrada sólida, hi-ten reforzado, freno trasero U.",7200,,,si,
p004,Summit,completas,"Summit AM 20"" Completa",Económica y resistente para empezar en el BMX.,4990,,,si,
p005,Sunday,completas,"Sunday Blueprint 18""","Para riders jóvenes, geometría cómoda cromoly.",8600,,,no,
p010,Cult,cuadros,"Cuadro Cult Shorty 20.75""","100% cromoly, trasero ajustable, cabezal integrado.",6900,,Top,si,
p011,Demolition,cuadros,"Cuadro Demolition Bird 21""","Cromoly full, ligero y rígido para street.",6500,,,si,
p012,Sunday,cuadros,"Cuadro Sunday Street Sweeper 21""","Firma de Jake Seeley, tubos cónicos cromoly.",7200,,Nuevo,si,
p013,Kink,cuadros,"Cuadro Kink Williams 20.75""","Cromoly, geometría versátil park/street.",5900,,,si,
p014,Summit,cuadros,"Cuadro Summit 20.5"" Hi-Ten",Opción económica para armar tu primera bici.,2600,,,si,
p020,Demolition,tijeras,Tijera Demolition Mark Ⅳ,"Cromoly, offset 32mm, pre-taladrada.",2900,,,si,
p021,Cult,tijeras,Tijera Cult Sect IC,"Steerer integrado, cromoly, muy ligera.",2800,,Top,si,
p022,Sunday,tijeras,Tijera Sunday Odyssey R32,"Colaboración Odyssey, refuerzo pre-load.",2700,,,si,
p023,Éclat,tijeras,Tijera Éclat Regor,"Cromoly termotratado, offset 30mm.",2600,,,no,
p030,Cult,manubrios,"Manubrio Cult Dak V2 9.5""","4 piezas cromoly, buen backsweep.",1450,,,si,
p031,Demolition,manubrios,"Manubrio Demolition TMOR 9.7""","Cromoly, altura alta para street.",1600,,Nuevo,si,
p032,Sunday,manubrios,"Manubrio Sunday Ill 9.3""","Ligero, 4 piezas, ideal park.",1500,,,si,
p033,Kink,manubrios,"Manubrio Kink Tower 9""","Cromoly resistente, geometría clásica.",1250,,,si,
p040,Odyssey,potencias,Potencia Odyssey Quill Ⅴ2,"Front load, aluminio 6061, muy ligera.",1200,,,si,
p041,Demolition,potencias,Potencia Demolition Rig,"Top load, aluminio forjado.",1150,,,si,
p042,Cult,potencias,Potencia Cult OS,"Front load, hardware cromoly incluido.",1250,,Top,si,
p050,Cult,punos,Puños Cult Vans,"Colaboración Vans, waffle, con tapones.",349,,Top,si,
p051,Odyssey,punos,Puños Odyssey Broc,"Firma Broc Raiford, flangeless.",320,,,si,
p052,Éclat,punos,Puños Éclat Filter,"Compuesto suave, buen agarre.",299,,,si,
p053,Demolition,punos,Puños Demolition Axes,"Doble densidad, con tapones de aluminio.",359,,,si,
p060,Demolition,pedales,Pedales Demolition Trooper,"Nylon reforzado, 9 pines por lado.",520,,,si,
p061,Odyssey,pedales,Pedales Odyssey Twisted PC,"Los clásicos de plástico, ligeros y baratos.",229,299,Oferta,si,
p062,Cult,pedales,Pedales Cult Dak PC,"Plataforma amplia, cuerpo de nylon.",349,,,si,
p063,Éclat,pedales,Pedales Éclat Surge Alloy,"Aluminio CNC, rodamientos sellados.",1290,,,no,
p070,Demolition,bielas,Bielas Demolition Refuse 24mm,"Cromoly 3 piezas, tornillería incluida.",2600,,Top,si,
p071,Cult,bielas,Bielas Cult Match V3 22mm,"Cromoly termotratado, eje 22mm.",2900,,,si,
p072,Kink,bielas,Bielas Kink Pillar 24mm,"3 piezas cromoly, buena relación precio.",2200,,,si,
p080,Cult,transmision,Sprocket Cult OS 25t,"Aluminio 7075, guarda protectora integrada.",650,,,si,
p081,Demolition,transmision,Sprocket Demolition Rotator 28t,"Guardado tipo guard, ligero.",720,,,si,
p082,Éclat,transmision,Cadena Éclat Stroke Half-Link,"Media eslabón, muy resistente.",389,,,si,
p083,Sando,transmision,"Cadena Sando 1/8""",Cadena estándar reforzada para BMX.,189,249,Oferta,si,
p090,Cult,llantas,"Llanta Cult Vans Tire 20x2.40""","Diseño Vans waffle, buen agarre.",650,,Top,si,
p091,Demolition,llantas,"Llanta Demolition Momentum 20x2.35""",Compuesto rápido para park/street.,680,,,si,
p092,Sunday,llantas,"Llanta Sunday Current 20x2.40""","Alta durabilidad, pared reforzada.",600,,,si,
p093,Chepe,llantas,"Llanta Chepe Street 20x2.25""",Opción económica confiable.,320,,,si,
p100,Odyssey,rines,Masa Trasera Odyssey Clutch V2 Freecoaster,"Freecoaster sellado, 9t driver.",5200,,Top,si,
p101,Cult,rines,Rin Cult Match V2 Trasero Cassette,"Doble pared, masa cassette 9t.",2900,,,si,
p102,Éclat,rines,Rin Éclat Bondi Delantero,"Doble pared, masa sellada.",1900,,,si,
p103,Summit,rines,Rin Summit Delantero 36H,Aluminio doble pared económico.,850,,,si,
p110,Odyssey,frenos,Freno Odyssey Evo 2.5 U-Brake,Kit completo con cable y palanca.,1290,,,si,
p111,Éclat,frenos,Freno Éclat Unit U-Brake,"Zapatas incluidas, buen mordisco.",1100,,,si,
p112,Demolition,frenos,Detangler / Rotor Demolition Axes,Gyro para giros de manubrio.,790,,,no,
p120,Cult,asiento,Asiento Cult Dehart Pivotal,"Combo mid, funda resistente.",520,,,si,
